Robin_has,    0 0 0 0 1 0 0 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1,

Canary_isa,   0 0 0 0 0 1 0 0 1 0 0 0,    1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Canary_is,    0 0 0 0 0 1 0 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Canary_can,   0 0 0 0 0 1 0 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0,
Canary_has,   0 0 0 0 0 1 0 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1,

Sunfish_isa,  0 0 0 0 0 0 1 0 1 0 0 0,    1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Sunfish_is,   0 0 0 0 0 0 1 0 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Sunfish_can,  0 0 0 0 0 0 1 0 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,
Sunfish_has,  0 0 0 0 0 0 1 0 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1,

Salmon_isa,   0 0 0 0 0 0 0 1 1 0 0 0,    1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Salmon_is,    0 0 0 0 0 0 0 1 0 1 0 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
Salmon_can,   0 0 0 0 0 0 0 1 0 0 1 0,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0,
Salmon_has,   0 0 0 0 0 0 0 1 0 0 0 1,    0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1,
